number,excavation,type,chronology,exterior_diam,inside_diam,rim_h,rim_w,shape_w,rim_inside_h,rim_w_2,protruding_rim,site
41,villaseca,Dressel D,B,165,90,38,39,11,27,37,17,villaseca
42,villaseca,Dressel D,B,180,100,40,39,10,33,34,18,villaseca
43,villaseca,Dressel D,B,182,97,37,40,11,27,36,15,villaseca
44,villaseca,Dressel E,C,162,87,37,41,12,24,35,27,villaseca
45,villaseca,Dressel D,B,183,95,35,41,11,22,38,19,villaseca
46,villaseca,Dressel D,B,172,95,38,40,11,33,32,15,villaseca
47,villaseca,Dressel G,C,144,103,30,32,10,32,30,30,villaseca
48,villaseca,Dressel E,C,165,90,39,38,12,25,34,21,villaseca
49,villaseca,Dressel G,C,157,88,34,35,11,25,31,26,villaseca
50,villaseca,Dressel G,C,150,85,28,31,12,26,30,19,villaseca
51,villaseca,Dressel E,C,170,91,30,40,11,24,32,21,villaseca
52,villaseca,Dressel D,B,175,100,41,40,10,29,39,18,villaseca
53,villaseca,Dressel D,B,180,100,43,39,11,29,39,18,villaseca
54,villaseca,Dressel D,B,175,100,43,42,11,29,39,18,villaseca
55,villaseca,Dressel D,B,155,90,36,37,11,32,34,16,villaseca
56,villaseca,Dressel C,A-B,150,80,37,34,11,35,27,14,villaseca
57,villaseca,Dressel E,C,160,90,36,29,9,34,26,15,villaseca
58,villaseca,Dressel D,B,150,100,41,29,10,29,27,14,villaseca
